Sample,,"Baseline
Jitter (us)"
1807, 3;,3
1808, 0;,0
1809, 3;,3
1810, 4;,4
1811, 2;,2
1812, 0;,0
1813, 1;,1
1814, 8;,8
1815, 3;,3
1816, 6;,6
1817, 6;,6
1818, 8;,8
1819, 5;,5
1820, 7;,7
1821, 2;,2
1822, 9;,9
1823, 3;,3
1824, 5;,5
1825, 8;,8
1826, 3;,3
1827, 6;,6
1828, 6;,6
1829, 1;,1
1830, 5;,5
1831, 3;,3
1832, 9;,9
1833, 3;,3
1834, 2;,2
1835, 4;,4
1836, 1;,1
1837, 9;,9
1838, 5;,5
1839, 1;,1
1840, 415;,415
1841, 1;,1
1842, 8;,8
1843, 6;,6
1844, 9;,9
1845, 0;,0
1846, 8;,8
1847, 2;,2
1848, 8;,8
1849, 4;,4
1850, 5;,5
1851, 1;,1
1852, 1;,1
1853, 7;,7
1854, 3;,3
1855, 8;,8
1856, 2;,2
1857, 9;,9
1858, 3;,3
1859, 5;,5
1860, 4;,4
1861, 1;,1
1862, 6;,6
1863, 1;,1
1864, 8;,8
1865, 1;,1
1866, 6;,6
1867, 8;,8
1868, 1;,1
1869, 3;,3
1870, 5;,5
1871, 2;,2
1872, 0;,0
1873, 6;,6
1874, 6;,6
1875, 9;,9
1876, 6;,6
1877, 2;,2
1878, 2;,2
1879, 2;,2
1880, 7;,7
1881, 2;,2
1882, 8;,8
1883, 5;,5
1884, 0;,0
1885, 9;,9
1886, 0;,0
1887, 5;,5
1888, 9;,9
1889, 7;,7
1890, 6;,6
1891, 9;,9
1892, 6;,6
1893, 9;,9
1894, 0;,0
1895, 5;,5
1896, 3;,3
1897, 3;,3
1898, 1;,1
1899, 8;,8
1900, 3;,3
1901, 6;,6
1902, 5;,5
1903, 6;,6
1904, 9;,9
1905, 5;,5
1906, 8;,8
1907, 1;,1
1908, 0;,0
1909, 5;,5
1910, 0;,0
1911, 2;,2
1912, 9;,9
1913, 2;,2
1914, 0;,0
1915, 4;,4
1916, 4;,4
1917, 4;,4
1918, 3;,3
1919, 5;,5
1920, 1;,1
1921, 3;,3
1922, 5;,5
1923, 0;,0
1924, 3;,3
1925, 8;,8
1926, 0;,0
1927, 7;,7
1928, 1;,1
1929, 3;,3
1930, 3;,3
1931, 3;,3
1932, 8;,8
1933, 6;,6
1934, 0;,0
1935, 3;,3
1936, 2;,2
1937, 5;,5
1938, 3;,3
1939, 1;,1
1940, 3;,3
1941, 4;,4
1942, 2;,2
1943, 4;,4
1944, 5;,5
1945, 8;,8
1946, 8;,8
1947, 5;,5
1948, 9;,9
1949, 6;,6
1950, 6;,6
1951, 8;,8
1952, 5;,5
1953, 0;,0
1954, 6;,6
1955, 2;,2
1956, 2;,2
1957, 4;,4
1958, 6;,6
1959, 5;,5
1960, 8;,8
1961, 0;,0
1962, 2;,2
1963, 3;,3
1964, 9;,9
1965, 4;,4
1966, 1;,1
1967, 0;,0
1968, 9;,9
1969, 8;,8
1970, 6;,6
1971, 3;,3
1972, 0;,0
1973, 2;,2
1974, 1;,1
1975, 0;,0
1976, 5;,5
1977, 4;,4
1978, 3;,3
1979, 5;,5
1980, 6;,6
1981, 6;,6
1982, 2;,2
1983, 9;,9
1984, 2;,2
1985, 0;,0
1986, 2;,2
1987, 2;,2
1988, 0;,0
1989, 3;,3
1990, 4;,4
1991, 4;,4
1992, 0;,0
1993, 6;,6
1994, 9;,9
1995, 3;,3
1996, 2;,2
1997, 8;,8
1998, 8;,8
1999, 0;,0
2000, 3;,3
2001, 2;,2
2002, 3;,3
2003, 6;,6
2004, 4;,4
2005, 9;,9
2006, 3;,3
2007, 6;,6
2008, 3;,3
2009, 9;,9
2010, 5;,5
2011, 7;,7
2012, 2;,2
2013, 9;,9
2014, 4;,4
2015, 3;,3
2016, 6;,6
2017, 4;,4
2018, 6;,6
2019, 7;,7
2020, 9;,9
2021, 6;,6
2022, 7;,7
2023, 6;,6
2024, 0;,0
2025, 4;,4
2026, 4;,4
2027, 1;,1
2028, 4;,4
2029, 9;,9
2030, 3;,3
2031, 2;,2
2032, 8;,8
2033, 4;,4
2034, 6;,6
2035, 9;,9
2036, 5;,5
2037, 9;,9
2038, 1;,1
2039, 8;,8
2040, 3;,3
2041, 5;,5
2042, 3;,3
2043, 5;,5
2044, 5;,5
2045, 7;,7
2046, 4;,4
2047, 3;,3
2048, 1;,1
2049, 3;,3
2050, 5;,5
2051, 5;,5
2052, 6;,6
2053, 4;,4
2054, 2;,2
2055, 6;,6
2056, 2;,2
2057, 4;,4
2058, 5;,5
2059, 0;,0
2060, 3;,3
2061, 2;,2
2062, 9;,9
2063, 0;,0
2064, 3;,3
2065, 6;,6
2066, 3;,3
2067, 6;,6
2068, 3;,3
2069, 1;,1
2070, 1;,1
2071, 8;,8
2072, 2;,2
2073, 0;,0
2074, 5;,5
2075, 9;,9
2076, 3;,3
2077, 4;,4
2078, 3;,3
2079, 8;,8
2080, 3;,3
2081, 0;,0
2082, 2;,2
2083, 7;,7
2084, 0;,0
2085, 6;,6
2086, 8;,8
2087, 3;,3
2088, 8;,8
2089, 6;,6
2090, 1;,1
2091, 4;,4
2092, 0;,0
2093, 2;,2
2094, 6;,6
2095, 9;,9
2096, 4;,4
2097, 6;,6
2098, 1;,1
2099, 4;,4
2100, 4;,4
2101, 1;,1
2102, 3;,3
2103, 0;,0
2104, 2;,2
2105, 1;,1
2106, 6;,6
2107, 8;,8
2108, 1;,1
2109, 4;,4
2110, 3;,3
2111, 2;,2
2112, 1;,1
2113, 6;,6
2114, 8;,8
2115, 9;,9
2116, 2;,2
2117, 4;,4
2118, 7;,7
2119, 1;,1
2120, 2;,2
2121, 7;,7
2122, 8;,8
2123, 8;,8
2124, 8;,8
2125, 0;,0
2126, 2;,2
2127, 8;,8
2128, 5;,5
2129, 9;,9
2130, 1;,1
2131, 5;,5
2132, 4;,4
2133, 4;,4
2134, 5;,5
2135, 1;,1
2136, 6;,6
2137, 4;,4
2138, 6;,6
2139, 7;,7
2140, 8;,8
2141, 1;,1
2142, 8;,8
2143, 5;,5
2144, 8;,8
2145, 5;,5
2146, 5;,5
2147, 9;,9
2148, 9;,9
2149, 5;,5
2150, 5;,5
2151, 9;,9
2152, 9;,9
2153, 4;,4
2154, 6;,6
2155, 7;,7
2156, 1;,1
2157, 9;,9
2158, 1;,1
2159, 1;,1
2160, 5;,5
2161, 6;,6
2162, 1;,1
2163, 0;,0
2164, 1;,1
2165, 2;,2
2166, 9;,9
2167, 2;,2
2168, 1;,1
2169, 2;,2
2170, 3;,3
2171, 7;,7
2172, 5;,5
2173, 6;,6
2174, 0;,0
2175, 3;,3
2176, 1;,1
2177, 3;,3
2178, 6;,6
2179, 1;,1
2180, 3;,3
2181, 2;,2
2182, 9;,9
2183, 0;,0
2184, 0;,0
2185, 8;,8
2186, 3;,3
2187, 1;,1
2188, 0;,0
2189, 3;,3
2190, 0;,0
2191, 8;,8
2192, 1;,1
2193, 0;,0
2194, 5;,5
2195, 9;,9
2196, 2;,2
2197, 4;,4
2198, 0;,0
2199, 4;,4
2200, 7;,7
2201, 4;,4
2202, 7;,7
2203, 6;,6
2204, 9;,9
2205, 4;,4
2206, 0;,0
2207, 0;,0
2208, 4;,4
2209, 8;,8
2210, 8;,8
2211, 1;,1
2212, 9;,9
2213, 7;,7
2214, 6;,6
2215, 3;,3
2216, 0;,0
2217, 9;,9
2218, 2;,2
2219, 7;,7
2220, 1;,1
2221, 8;,8
2222, 1;,1
2223, 9;,9
2224, 2;,2
2225, 5;,5
2226, 2;,2
2227, 3;,3
2228, 1;,1
2229, 3;,3
2230, 4;,4
2231, 8;,8
2232, 0;,0
2233, 7;,7
2234, 8;,8
2235, 3;,3
2236, 2;,2
2237, 7;,7
2238, 3;,3
2239, 0;,0
2240, 4;,4
2241, 2;,2
2242, 0;,0
2243, 8;,8
2244, 9;,9
2245, 7;,7
2246, 3;,3
2247, 6;,6
2248, 5;,5
2249, 0;,0
2250, 1;,1
2251, 7;,7
2252, 2;,2
2253, 9;,9
2254, 6;,6
2255, 1;,1
2256, 1;,1
2257, 4;,4
2258, 7;,7
2259, 8;,8
2260, 8;,8
2261, 5;,5
2262, 2;,2
2263, 6;,6
2264, 9;,9
2265, 5;,5
2266, 2;,2
2267, 7;,7
2268, 0;,0
2269, 6;,6
2270, 5;,5
2271, 5;,5
2272, 9;,9
2273, 2;,2
2274, 6;,6
2275, 9;,9
2276, 9;,9
2277, 0;,0
2278, 1;,1
2279, 0;,0
2280, 8;,8
2281, 6;,6
2282, 2;,2
2283, 9;,9
2284, 2;,2
2285, 2;,2
2286, 38;,38
2287, 5;,5
2288, 5;,5
2289, 2;,2
2290, 5;,5
2291, 7;,7
2292, 0;,0
2293, 6;,6
2294, 0;,0
2295, 3;,3
2296, 1;,1
2297, 1;,1
2298, 7;,7
2299, 8;,8
2300, 3;,3
2301, 1;,1
2302, 0;,0
2303, 7;,7
2304, 0;,0
2305, 9;,9
2306, 3;,3
2307, 6;,6
2308, 6;,6
2309, 1;,1
2310, 7;,7
2311, 7;,7
2312, 2;,2
2313, 9;,9
2314, 3;,3
2315, 2;,2
2316, 16;,16
2317, 4;,4
2318, 6;,6
2319, 7;,7
2320, 8;,8
2321, 2;,2
2322, 5;,5
2323, 5;,5
2324, 0;,0
2325, 7;,7
2326, 2;,2
2327, 1;,1
2328, 9;,9
2329, 6;,6
2330, 5;,5
2331, 3;,3
2332, 2;,2
2333, 4;,4
2334, 6;,6
2335, 6;,6
2336, 5;,5
2337, 18;,18
2338, 3;,3
2339, 7;,7
2340, 1;,1
2341, 8;,8
2342, 2;,2
2343, 9;,9
2344, 1;,1
2345, 5;,5
2346, 8;,8
2347, 7;,7
2348, 4;,4
2349, 3;,3
2350, 5;,5
2351, 5;,5
2352, 3;,3
2353, 4;,4
2354, 8;,8
2355, 7;,7
2356, 1;,1
2357, 0;,0
2358, 3;,3
2359, 1;,1
2360, 3;,3
2361, 4;,4
2362, 2;,2
2363, 1;,1
2364, 6;,6
2365, 8;,8
2366, 6;,6
2367, 2;,2
2368, 6;,6
2369, 7;,7
2370, 0;,0
2371, 7;,7
2372, 2;,2
2373, 8;,8
2374, 5;,5
2375, 0;,0
2376, 3;,3
2377, 2;,2
2378, 2;,2
2379, 0;,0
2380, 9;,9
2381, 8;,8
2382, 7;,7
2383, 6;,6
2384, 0;,0
2385, 6;,6
2386, 0;,0
2387, 7;,7
2388, 9;,9
2389, 5;,5
2390, 0;,0
2391, 9;,9
2392, 2;,2
2393, 4;,4
2394, 6;,6
2395, 9;,9
2396, 5;,5
2397, 9;,9
2398, 6;,6
2399, 7;,7
2400, 3;,3
2401, 5;,5
2402, 2;,2
2403, 9;,9
2404, 1;,1
2405, 5;,5
2406, 3;,3
2407, 6;,6
2408, 0;,0
2409, 3;,3
2410, 3;,3
2411, 0;,0
2412, 0;,0
2413, 6;,6
2414, 9;,9
2415, 0;,0
2416, 2;,2
2417, 1;,1
2418, 3;,3
2419, 1;,1
2420, 3;,3
2421, 264;,264
2422, 2;,2
2423, 4;,4
2424, 1;,1
2425, 9;,9
2426, 3;,3
2427, 2;,2
2428, 9;,9
2429, 2;,2
2430, 5;,5
2431, 7;,7
2432, 2;,2
2433, 3;,3
2434, 4;,4
2435, 4;,4
2436, 4;,4
2437, 2;,2
2438, 0;,0
2439, 6;,6
2440, 3;,3
2441, 6;,6
2442, 8;,8
2443, 6;,6
2444, 8;,8
2445, 7;,7
2446, 0;,0
2447, 2;,2
2448, 9;,9
2449, 5;,5
2450, 5;,5
2451, 8;,8
2452, 2;,2
2453, 6;,6
2454, 1;,1
2455, 8;,8
2456, 2;,2
2457, 2;,2
2458, 6;,6
2459, 6;,6
2460, 2;,2
2461, 5;,5
2462, 0;,0
2463, 9;,9
2464, 1;,1
2465, 6;,6
2466, 7;,7
2467, 8;,8
2468, 3;,3
2469, 3;,3
2470, 5;,5
2471, 7;,7
2472, 6;,6
2473, 6;,6
2474, 0;,0
2475, 3;,3
2476, 2;,2
2477, 9;,9
2478, 8;,8
2479, 0;,0
2480, 3;,3
2481, 4;,4
2482, 6;,6
2483, 2;,2
2484, 1;,1
2485, 0;,0
2486, 3;,3
2487, 1;,1
2488, 0;,0
2489, 8;,8
2490, 0;,0
2491, 7;,7
2492, 2;,2
2493, 9;,9
2494, 9;,9
2495, 2;,2
2496, 3;,3
2497, 5;,5
2498, 6;,6
2499, 0;,0
2500, 0;,0
2501, 5;,5
2502, 8;,8
2503, 6;,6
2504, 8;,8
2505, 3;,3
2506, 0;,0
2507, 1;,1
2508, 4;,4
2509, 6;,6
2510, 7;,7
2511, 8;,8
2512, 3;,3
2513, 0;,0
2514, 6;,6
2515, 8;,8
2516, 6;,6
2517, 1;,1
2518, 6;,6
2519, 3;,3
2520, 5;,5
2521, 1;,1
2522, 1;,1
2523, 4;,4
2524, 1;,1
2525, 3;,3
2526, 3;,3
2527, 1;,1
2528, 4;,4
2529, 3;,3
2530, 5;,5
2531, 8;,8
2532, 9;,9
2533, 5;,5
2534, 0;,0
2535, 6;,6
2536, 2;,2
2537, 1;,1
2538, 3;,3
2539, 1;,1
2540, 3;,3
2541, 5;,5
2542, 1;,1
2543, 1;,1
2544, 7;,7
2545, 6;,6
2546, 6;,6
2547, 2;,2
2548, 2;,2
2549, 6;,6
2550, 4;,4
2551, 7;,7
2552, 2;,2
2553, 9;,9
2554, 9;,9
2555, 4;,4
2556, 8;,8
2557, 3;,3
2558, 5;,5
2559, 4;,4
2560, 8;,8
2561, 3;,3
2562, 3;,3
2563, 6;,6
2564, 8;,8
2565, 7;,7
2566, 1;,1
2567, 9;,9
2568, 1;,1
2569, 3;,3
2570, 4;,4
2571, 7;,7
2572, 2;,2
2573, 2;,2
2574, 5;,5
2575, 9;,9
2576, 0;,0
2577, 1;,1
2578, 7;,7
2579, 5;,5
2580, 0;,0
2581, 9;,9
2582, 5;,5
2583, 9;,9
2584, 1;,1
2585, 1;,1
2586, 4;,4
2587, 9;,9
2588, 9;,9
2589, 2;,2
2590, 0;,0
2591, 4;,4
2592, 7;,7
2593, 6;,6
2594, 4;,4
2595, 7;,7
2596, 2;,2
2597, 9;,9
2598, 7;,7
2599, 1;,1
2600, 1;,1
2601, 2;,2
2602, 7;,7
2603, 7;,7
2604, 6;,6
2605, 2;,2
2606, 2;,2
2607, 2;,2
2608, 4;,4
2609, 6;,6
2610, 5;,5
2611, 0;,0
2612, 0;,0
2613, 4;,4
2614, 2;,2
2615, 3;,3
2616, 9;,9
2617, 0;,0
2618, 5;,5
2619, 1;,1
2620, 3;,3
2621, 7;,7
2622, 7;,7
2623, 1;,1
2624, 6;,6
2625, 6;,6
2626, 5;,5
2627, 6;,6
2628, 0;,0
2629, 5;,5
2630, 0;,0
2631, 3;,3
2632, 3;,3
2633, 2;,2
2634, 4;,4
2635, 4;,4
2636, 4;,4
2637, 0;,0
2638, 6;,6
2639, 0;,0
2640, 1;,1
2641, 0;,0
2642, 0;,0
2643, 9;,9
2644, 1;,1
2645, 3;,3
2646, 7;,7
2647, 3;,3
2648, 5;,5
2649, 1;,1
2650, 1;,1
2651, 2;,2
2652, 6;,6
2653, 6;,6
2654, 9;,9
2655, 3;,3
2656, 0;,0
2657, 6;,6
2658, 3;,3
2659, 1;,1
2660, 1;,1
2661, 7;,7
2662, 8;,8
2663, 1;,1
2664, 6;,6
2665, 9;,9
2666, 3;,3
2667, 8;,8
2668, 7;,7
2669, 4;,4
2670, 1;,1
2671, 7;,7
2672, 4;,4
2673, 3;,3
2674, 4;,4
2675, 4;,4
2676, 0;,0
2677, 8;,8
2678, 125;,125
2679, 1;,1
2680, 5;,5
2681, 7;,7
2682, 3;,3
2683, 6;,6
2684, 8;,8
2685, 1;,1
2686, 1;,1
2687, 1;,1
2688, 9;,9
2689, 6;,6
2690, 9;,9
2691, 5;,5
2692, 1;,1
2693, 4;,4
2694, 6;,6
2695, 4;,4
2696, 2;,2
2697, 4;,4
2698, 6;,6
2699, 1;,1
2700, 6;,6
2701, 8;,8
2702, 2;,2
2703, 8;,8
2704, 2;,2
2705, 7;,7
2706, 7;,7
2707, 4;,4
2708, 9;,9
2709, 4;,4
2710, 5;,5
2711, 6;,6
2712, 4;,4
2713, 7;,7
2714, 8;,8
2715, 3;,3
2716, 2;,2
2717, 3;,3
2718, 7;,7
2719, 1;,1
2720, 3;,3
2721, 4;,4
2722, 0;,0
2723, 6;,6
2724, 1;,1
2725, 8;,8
2726, 3;,3
2727, 2;,2
2728, 4;,4
2729, 6;,6
2730, 5;,5
2731, 7;,7
2732, 2;,2
2733, 9;,9
2734, 8;,8
2735, 2;,2
2736, 7;,7
2737, 4;,4
2738, 7;,7
2739, 7;,7
2740, 0;,0
2741, 6;,6
2742, 8;,8
2743, 2;,2
2744, 0;,0
2745, 5;,5
2746, 6;,6
2747, 8;,8
2748, 4;,4
2749, 6;,6
2750, 3;,3
2751, 8;,8
2752, 8;,8
2753, 2;,2
2754, 7;,7
2755, 0;,0
2756, 6;,6
2757, 1;,1
2758, 8;,8
2759, 8;,8
2760, 6;,6
2761, 7;,7
2762, 9;,9
2763, 8;,8
2764, 4;,4
2765, 6;,6
2766, 8;,8
2767, 6;,6
2768, 7;,7
2769, 3;,3
2770, 9;,9
2771, 4;,4
2772, 6;,6
2773, 2;,2
2774, 0;,0
2775, 1;,1
2776, 1;,1
2777, 4;,4
2778, 8;,8
2779, 2;,2
2780, 5;,5
2781, 4;,4
2782, 7;,7
2783, 1;,1
2784, 6;,6
2785, 9;,9
2786, 3;,3
2787, 2;,2
2788, 8;,8
2789, 3;,3
2790, 1;,1
2791, 4;,4
2792, 1;,1
2793, 0;,0
2794, 2;,2
2795, 4;,4
2796, 3;,3
2797, 3;,3
2798, 6;,6
2799, 5;,5
2800, 6;,6
2801, 4;,4
2802, 7;,7
2803, 1;,1
2804, 0;,0
2805, 3;,3
2806, 3;,3
2807, 6;,6
2808, 5;,5
2809, 6;,6
2810, 6;,6
2811, 8;,8
2812, 7;,7
2813, 3;,3
2814, 4;,4
2815, 8;,8
2816, 4;,4
2817, 1;,1
2818, 2;,2
2819, 0;,0
2820, 6;,6
2821, 5;,5
2822, 5;,5
2823, 9;,9
2824, 4;,4
2825, 6;,6
2826, 8;,8
2827, 5;,5
2828, 4;,4
2829, 2;,2
2830, 2;,2
2831, 9;,9
2832, 5;,5
2833, 2;,2
2834, 8;,8
2835, 8;,8
2836, 2;,2
2837, 4;,4
2838, 8;,8
2839, 1;,1
2840, 3;,3
2841, 4;,4
2842, 5;,5
2843, 0;,0
2844, 6;,6
2845, 0;,0
2846, 9;,9
2847, 1;,1
2848, 5;,5
2849, 3;,3
2850, 1;,1
2851, 9;,9
2852, 2;,2
2853, 9;,9
2854, 6;,6
2855, 5;,5
2856, 9;,9
2857, 4;,4
2858, 2;,2
2859, 7;,7
2860, 3;,3
2861, 0;,0
2862, 7;,7
2863, 2;,2
2864, 9;,9
2865, 5;,5
2866, 8;,8
2867, 2;,2
2868, 4;,4
2869, 4;,4
2870, 8;,8
2871, 3;,3
2872, 4;,4
2873, 7;,7
2874, 6;,6
2875, 9;,9
2876, 5;,5
2877, 1;,1
2878, 7;,7
2879, 1;,1
2880, 6;,6
2881, 6;,6
2882, 8;,8
2883, 4;,4
2884, 8;,8
2885, 2;,2
2886, 3;,3
2887, 9;,9
2888, 3;,3
2889, 6;,6
2890, 6;,6
2891, 3;,3
2892, 2;,2
2893, 1;,1
2894, 9;,9
2895, 2;,2
2896, 9;,9
2897, 8;,8
2898, 8;,8
2899, 0;,0
2900, 3;,3
2901, 4;,4
2902, 5;,5
2903, 6;,6
2904, 5;,5
2905, 9;,9
2906, 3;,3
2907, 2;,2
2908, 8;,8
2909, 3;,3
2910, 1;,1
2911, 3;,3
2912, 2;,2
2913, 1;,1
2914, 4;,4
2915, 7;,7
2916, 0;,0
2917, 2;,2
2918, 7;,7
2919, 3;,3
2920, 0;,0
2921, 0;,0
2922, 7;,7
2923, 2;,2
2924, 8;,8
2925, 5;,5
2926, 4;,4
2927, 1;,1
2928, 5;,5
2929, 4;,4
2930, 5;,5
2931, 3;,3
2932, 1;,1
2933, 7;,7
2934, 7;,7
2935, 3;,3
2936, 0;,0
2937, 0;,0
2938, 1;,1
2939, 0;,0
2940, 6;,6
2941, 5;,5
2942, 9;,9
2943, 8;,8
2944, 6;,6
2945, 1;,1
2946, 9;,9
2947, 2;,2
2948, 6;,6
2949, 5;,5
2950, 6;,6
2951, 8;,8
2952, 6;,6
2953, 1;,1
2954, 0;,0
2955, 1;,1
2956, 1;,1
2957, 0;,0
2958, 8;,8
2959, 1;,1
2960, 3;,3
2961, 5;,5
2962, 6;,6
2963, 6;,6
2964, 6;,6
2965, 9;,9
2966, 3;,3
2967, 2;,2
2968, 8;,8
2969, 8;,8
2970, 2;,2
2971, 2;,2
2972, 2;,2
2973, 0;,0
2974, 9;,9
2975, 8;,8
2976, 8;,8
2977, 3;,3
2978, 2;,2
2979, 9;,9
2980, 7;,7
2981, 2;,2
2982, 6;,6
2983, 2;,2
2984, 0;,0
2985, 2;,2
2986, 2;,2
2987, 2;,2
2988, 4;,4
2989, 6;,6
2990, 5;,5
2991, 3;,3
2992, 7;,7
2993, 7;,7
2994, 6;,6
2995, 9;,9
2996, 0;,0
2997, 0;,0
2998, 5;,5
2999, 4;,4
3000, 6;,6
3001, 8;,8
3002, 1526;,1526
3003, 8;,8
3004, 8;,8
3005, 0;,0
3006, 9;,9
3007, 6;,6
3008, 5;,5
3009, 2;,2
3010, 3;,3
3011, 8;,8
3012, 6;,6
3013, 2;,2
3014, 9;,9
3015, 2;,2
3016, 2;,2
3017, 5;,5
3018, 8;,8
3019, 1;,1
3020, 3;,3
3021, 5;,5
3022, 8;,8
3023, 0;,0
3024, 7;,7
3025, 3;,3
3026, 8;,8
3027, 1;,1
3028, 4;,4
3029, 4;,4
3030, 1;,1
3031, 3;,3
3032, 2;,2
3033, 9;,9
3034, 5;,5
3035, 5;,5
3036, 7;,7
3037, 9;,9
3038, 6;,6
3039, 7;,7
3040, 8;,8
3041, 1;,1
3042, 3;,3
3043, 1;,1
3044, 0;,0
3045, 9;,9
3046, 8;,8
3047, 3;,3
3048, 5;,5
3049, 0;,0
3050, 4;,4
3051, 7;,7
3052, 3;,3
3053, 2;,2
3054, 6;,6
3055, 9;,9
3056, 7;,7
3057, 0;,0
3058, 2;,2
3059, 4;,4
3060, 7;,7
3061, 8;,8
3062, 0;,0
3063, 0;,0
3064, 9;,9
3065, 1;,1
3066, 0;,0
3067, 6;,6
3068, 4;,4
3069, 3;,3
3070, 9;,9
3071, 3;,3
3072, 6;,6
3073, 1;,1
3074, 0;,0
3075, 2;,2
3076, 6;,6
3077, 3;,3
3078, 8;,8
3079, 1;,1
3080, 3;,3
3081, 5;,5
3082, 0;,0
3083, 0;,0
3084, 6;,6
3085, 0;,0
3086, 0;,0
3087, 1;,1
3088, 4;,4
3089, 8;,8
3090, 1;,1
3091, 4;,4
3092, 9;,9
3093, 6;,6
3094, 4;,4
3095, 4;,4
3096, 0;,0
3097, 7;,7
3098, 5;,5
3099, 0;,0
3100, 6;,6
3101, 6;,6
3102, 7;,7
3103, 4;,4
3104, 5;,5
3105, 5;,5
3106, 0;,0
3107, 6;,6
3108, 5;,5
3109, 6;,6
3110, 7;,7
3111, 8;,8
3112, 7;,7
3113, 4;,4
3114, 1;,1
3115, 4;,4
3116, 3;,3
3117, 3;,3
3118, 4;,4
3119, 4;,4
3120, 6;,6
3121, 1;,1
3122, 1;,1
3123, 9;,9
3124, 2;,2
3125, 7;,7
3126, 8;,8
3127, 4;,4
3128, 5;,5
3129, 2;,2
3130, 6;,6
3131, 3;,3
3132, 5;,5
3133, 2;,2
3134, 9;,9
3135, 2;,2
3136, 782;,782
3137, 0;,0
3138, 2;,2
3139, 1;,1
3140, 3;,3
3141, 2;,2
3142, 4;,4
3143, 4;,4
3144, 9;,9
3145, 8;,8
3146, 3;,3
3147, 2;,2
3148, 9;,9
3149, 8;,8
3150, 0;,0
3151, 3;,3
3152, 2;,2
3153, 0;,0
3154, 5;,5
3155, 4;,4
3156, 7;,7
3157, 5;,5
3158, 6;,6
3159, 4;,4
3160, 7;,7
3161, 1;,1
3162, 7;,7
3163, 2;,2
3164, 9;,9
3165, 0;,0
3166, 0;,0
3167, 2;,2
3168, 5;,5
3169, 0;,0
3170, 9;,9
3171, 6;,6
3172, 9;,9
3173, 2;,2
3174, 6;,6
3175, 9;,9
3176, 1;,1
3177, 0;,0
3178, 7;,7
3179, 9;,9
3180, 5;,5
3181, 5;,5
3182, 4;,4
3183, 8;,8
3184, 3;,3
3185, 2;,2
3186, 0;,0
3187, 2;,2
3188, 1;,1
3189, 2;,2
3190, 6;,6
3191, 0;,0
3192, 57;,57
3193, 8;,8
3194, 3;,3
3195, 2;,2
3196, 8;,8
3197, 2;,2
3198, 8;,8
3199, 6;,6
3200, 4;,4
3201, 2;,2
3202, 4;,4
3203, 596;,596
3204, 3;,3
3205, 3;,3
3206, 3;,3
3207, 2;,2
3208, 5;,5
3209, 7;,7
3210, 5;,5
3211, 3;,3
3212, 2;,2
3213, 0;,0
3214, 2;,2
3215, 3;,3
3216, 3;,3
3217, 8;,8
3218, 6;,6
3219, 1;,1
3220, 2;,2
3221, 9;,9
3222, 7;,7
3223, 2;,2
3224, 9;,9
3225, 2;,2
3226, 3;,3
3227, 5;,5
3228, 2;,2
3229, 1;,1
3230, 4;,4
3231, 0;,0
3232, 4;,4
3233, 1;,1
3234, 2;,2
3235, 8;,8
3236, 1;,1
3237, 5;,5
3238, 1;,1
3239, 6;,6
3240, 2;,2
3241, 0;,0
3242, 6;,6
3243, 6;,6
3244, 2;,2
3245, 6;,6
3246, 5;,5
3247, 3;,3
3248, 3;,3
3249, 5;,5
3250, 2;,2
3251, 0;,0
3252, 6;,6
3253, 3;,3
3254, 0;,0
3255, 0;,0
3256, 5;,5
3257, 5;,5
3258, 3;,3
3259, 3;,3
3260, 8;,8
3261, 6;,6
3262, 4;,4
3263, 1;,1
3264, 0;,0
3265, 6;,6
3266, 7;,7
3267, 6;,6
3268, 3;,3
3269, 7;,7
3270, 1;,1
3271, 1;,1
3272, 0;,0
3273, 7;,7
3274, 2;,2
3275, 0;,0
3276, 6;,6
3277, 4;,4
3278, 1;,1
3279, 8;,8
3280, 8;,8
3281, 2;,2
3282, 1;,1
3283, 1;,1
3284, 6;,6
3285, 3;,3
3286, 5;,5
3287, 7;,7
3288, 0;,0
3289, 5;,5
3290, 4;,4
3291, 5;,5
3292, 9;,9
3293, 9;,9
3294, 5;,5
3295, 9;,9
3296, 3;,3
3297, 8;,8
3298, 2;,2
3299, 5;,5
3300, 6;,6
3301, 6;,6
3302, 2;,2
3303, 4;,4
3304, 5;,5
3305, 3;,3
3306, 6;,6
3307, 8;,8
3308, 6;,6
3309, 3;,3
3310, 4;,4
3311, 4;,4
3312, 1;,1
3313, 2;,2
3314, 4;,4
3315, 1;,1
3316, 5;,5
3317, 4;,4
3318, 8;,8
3319, 2;,2
3320, 1;,1
3321, 0;,0
3322, 9;,9
3323, 8;,8
3324, 4;,4
3325, 9;,9
3326, 0;,0
3327, 7;,7
3328, 3;,3
3329, 8;,8
3330, 1;,1
3331, 0;,0
3332, 4;,4
3333, 4;,4
3334, 2;,2
3335, 3;,3
3336, 6;,6
3337, 5;,5
3338, 8;,8
3339, 8;,8
3340, 7;,7
3341, 2;,2
3342, 3;,3
3343, 2;,2
3344, 3;,3
3345, 1;,1
3346, 5;,5
3347, 7;,7
3348, 4;,4
3349, 8;,8
3350, 8;,8
3351, 2;,2
3352, 0;,0
3353, 2;,2
3354, 9;,9
3355, 4;,4
3356, 7;,7
3357, 4;,4
3358, 2;,2
3359, 4;,4
