Sample,,"Baseline
Jitter (us)"
1085, 1;,1
1086, 0;,0
1087, 5;,5
1088, 2;,2
1089, 8;,8
1090, 4;,4
1091, 2;,2
1092, 2;,2
1093, 7;,7
1094, 2;,2
1095, 3;,3
1096, 2;,2
1097, 3;,3
1098, 0;,0
1099, 5;,5
1100, 8;,8
1101, 4;,4
1102, 2;,2
1103, 6;,6
1104, 2;,2
1105, 4;,4
1106, 3;,3
1107, 6;,6
1108, 9;,9
1109, 8;,8
1110, 1;,1
1111, 7;,7
1112, 2;,2
1113, 9;,9
1114, 6;,6
1115, 0;,0
1116, 5;,5
1117, 2;,2
1118, 0;,0
1119, 1;,1
1120, 8;,8
1121, 2;,2
1122, 2;,2
1123, 7;,7
1124, 0;,0
1125, 6;,6
1126, 9;,9
1127, 2;,2
1128, 4;,4
1129, 1;,1
1130, 5;,5
1131, 9;,9
1132, 2;,2
1133, 2;,2
1134, 9;,9
1135, 3;,3
1136, 6;,6
1137, 3;,3
1138, 3;,3
1139, 4;,4
1140, 9;,9
1141, 5;,5
1142, 1;,1
1143, 0;,0
1144, 3;,3
1145, 2;,2
1146, 8;,8
1147, 6;,6
1148, 9;,9
1149, 4;,4
1150, 5;,5
1151, 1;,1
1152, 8;,8
1153, 3;,3
1154, 9;,9
1155, 3;,3
1156, 1;,1
1157, 0;,0
1158, 2;,2
1159, 1;,1
1160, 3;,3
1161, 4;,4
1162, 0;,0
1163, 0;,0
1164, 2;,2
1165, 4;,4
1166, 3;,3
1167, 6;,6
1168, 3;,3
1169, 8;,8
1170, 5;,5
1171, 2;,2
1172, 2;,2
1173, 9;,9
1174, 6;,6
1175, 0;,0
1176, 4;,4
1177, 7;,7
1178, 1;,1
1179, 6;,6
1180, 9;,9
1181, 686;,686
1182, 8;,8
1183, 5;,5
1184, 8;,8
1185, 6;,6
1186, 6;,6
1187, 3;,3
1188, 0;,0
1189, 1;,1
1190, 1;,1
1191, 2;,2
1192, 0;,0
1193, 3;,3
1194, 1;,1
1195, 7;,7
1196, 0;,0
1197, 4;,4
1198, 8;,8
1199, 3;,3
1200, 3;,3
1201, 6;,6
1202, 2;,2
1203, 9;,9
1204, 2;,2
1205, 1;,1
1206, 4;,4
1207, 3;,3
1208, 1;,1
1209, 3;,3
1210, 5;,5
1211, 4;,4
1212, 6;,6
1213, 6;,6
1214, 9;,9
1215, 1;,1
1216, 0;,0
1217, 0;,0
1218, 3;,3
1219, 1;,1
1220, 3;,3
1221, 2;,2
1222, 9;,9
1223, 4;,4
1224, 4;,4
1225, 9;,9
1226, 4;,4
1227, 6;,6
1228, 8;,8
1229, 8;,8
1230, 1;,1
1231, 8;,8
1232, 1;,1
1233, 0;,0
1234, 5;,5
1235, 8;,8
1236, 2;,2
1237, 7;,7
1238, 7;,7
1239, 4;,4
1240, 9;,9
1241, 7;,7
1242, 1;,1
1243, 5;,5
1244, 0;,0
1245, 0;,0
1246, 5;,5
1247, 7;,7
1248, 7;,7
1249, 5;,5
1250, 0;,0
1251, 2;,2
1252, 9;,9
1253, 8;,8
1254, 1;,1
1255, 8;,8
1256, 7;,7
1257, 5;,5
1258, 1;,1
1259, 8;,8
1260, 2;,2
1261, 1;,1
1262, 8;,8
1263, 9;,9
1264, 2;,2
1265, 7;,7
1266, 0;,0
1267, 8;,8
1268, 1;,1
1269, 3;,3
1270, 5;,5
1271, 5;,5
1272, 6;,6
1273, 6;,6
1274, 8;,8
1275, 3;,3
1276, 2;,2
1277, 2;,2
1278, 2;,2
1279, 1;,1
1280, 4;,4
1281, 2;,2
1282, 4;,4
1283, 0;,0
1284, 3;,3
1285, 9;,9
1286, 1;,1
1287, 6;,6
1288, 9;,9
1289, 7;,7
1290, 6;,6
1291, 7;,7
1292, 2;,2
1293, 7;,7
1294, 4;,4
1295, 0;,0
1296, 12;,12
1297, 5;,5
1298, 6;,6
1299, 7;,7
1300, 8;,8
1301, 7;,7
1302, 7;,7
1303, 6;,6
1304, 1;,1
1305, 3;,3
1306, 9;,9
1307, 7;,7
1308, 4;,4
1309, 1;,1
1310, 2;,2
1311, 5;,5
1312, 7;,7
1313, 2;,2
1314, 6;,6
1315, 9;,9
1316, 6;,6
1317, 8;,8
1318, 2;,2
1319, 7;,7
1320, 5;,5
1321, 6;,6
1322, 2;,2
1323, 9;,9
1324, 1;,1
1325, 1;,1
1326, 4;,4
1327, 8;,8
1328, 8;,8
1329, 2;,2
1330, 5;,5
1331, 9;,9
1332, 1;,1
1333, 1;,1
1334, 8;,8
1335, 3;,3
1336, 2;,2
1337, 8;,8
1338, 8;,8
1339, 2;,2
1340, 6;,6
1341, 5;,5
1342, 0;,0
1343, 2;,2
1344, 0;,0
1345, 0;,0
1346, 4;,4
1347, 6;,6
1348, 4;,4
1349, 7;,7
1350, 3;,3
1351, 8;,8
1352, 2;,2
1353, 0;,0
1354, 3;,3
1355, 3;,3
1356, 3;,3
1357, 3;,3
1358, 6;,6
1359, 1;,1
1360, 7;,7
1361, 0;,0
1362, 9;,9
1363, 1;,1
1364, 0;,0
1365, 2;,2
1366, 3;,3
1367, 8;,8
1368, 4;,4
1369, 7;,7
1370, 2;,2
1371, 784;,784
1372, 3;,3
1373, 0;,0
1374, 2;,2
1375, 9;,9
1376, 5;,5
1377, 8;,8
1378, 3;,3
1379, 4;,4
1380, 4;,4
1381, 7;,7
1382, 991;,991
1383, 3;,3
1384, 8;,8
1385, 5;,5
1386, 8;,8
1387, 7;,7
1388, 7;,7
1389, 2;,2
1390, 8;,8
1391, 5;,5
1392, 1;,1
1393, 2;,2
1394, 7;,7
1395, 2;,2
1396, 3;,3
1397, 6;,6
1398, 8;,8
1399, 0;,0
1400, 0;,0
1401, 1;,1
1402, 9;,9
1403, 1;,1
1404, 4;,4
1405, 6;,6
1406, 6;,6
1407, 8;,8
1408, 2;,2
1409, 3;,3
1410, 3;,3
1411, 6;,6
1412, 5;,5
1413, 3;,3
1414, 4;,4
1415, 4;,4
1416, 4;,4
1417, 1;,1
1418, 0;,0
1419, 9;,9
1420, 8;,8
1421, 2;,2
1422, 3;,3
1423, 2;,2
1424, 3;,3
1425, 4;,4
1426, 9;,9
1427, 6;,6
1428, 0;,0
1429, 9;,9
1430, 7;,7
1431, 5;,5
1432, 9;,9
1433, 3;,3
1434, 1;,1
1435, 0;,0
1436, 0;,0
1437, 3;,3
1438, 0;,0
1439, 5;,5
1440, 6;,6
1441, 0;,0
1442, 5;,5
1443, 8;,8
1444, 7;,7
1445, 2;,2
1446, 0;,0
1447, 8;,8
1448, 5;,5
1449, 0;,0
1450, 1;,1
1451, 4;,4
1452, 1;,1
1453, 2;,2
1454, 7;,7
1455, 2;,2
1456, 6;,6
1457, 7;,7
1458, 9;,9
1459, 2;,2
1460, 7;,7
1461, 8;,8
1462, 4;,4
1463, 6;,6
1464, 5;,5
1465, 0;,0
1466, 1;,1
1467, 8;,8
1468, 5;,5
1469, 2;,2
1470, 7;,7
1471, 2;,2
1472, 6;,6
1473, 7;,7
1474, 2;,2
1475, 6;,6
1476, 6;,6
1477, 5;,5
1478, 2;,2
1479, 8;,8
1480, 8;,8
1481, 7;,7
1482, 3;,3
1483, 7;,7
1484, 1;,1
1485, 3;,3
1486, 0;,0
1487, 3;,3
1488, 5;,5
1489, 6;,6
1490, 2;,2
1491, 1;,1
1492, 0;,0
1493, 3;,3
1494, 5;,5
1495, 3;,3
1496, 6;,6
1497, 1;,1
1498, 2;,2
1499, 1;,1
1500, 4;,4
1501, 0;,0
1502, 0;,0
1503, 4;,4
1504, 7;,7
1505, 0;,0
1506, 9;,9
1507, 7;,7
1508, 6;,6
1509, 1;,1
1510, 1;,1
1511, 9;,9
1512, 1;,1
1513, 2;,2
1514, 4;,4
1515, 2;,2
1516, 6;,6
1517, 5;,5
1518, 4;,4
1519, 2;,2
1520, 0;,0
1521, 1;,1
1522, 0;,0
1523, 0;,0
1524, 0;,0
1525, 9;,9
1526, 0;,0
1527, 0;,0
1528, 7;,7
1529, 4;,4
1530, 2;,2
1531, 1;,1
1532, 2;,2
1533, 4;,4
1534, 1;,1
1535, 5;,5
1536, 6;,6
1537, 4;,4
1538, 0;,0
1539, 7;,7
1540, 9;,9
1541, 1;,1
1542, 9;,9
1543, 2;,2
1544, 1;,1
1545, 1;,1
1546, 4;,4
1547, 3;,3
1548, 5;,5
1549, 0;,0
1550, 7;,7
1551, 3;,3
1552, 7;,7
1553, 3;,3
1554, 2;,2
1555, 0;,0
1556, 0;,0
1557, 8;,8
1558, 7;,7
1559, 5;,5
1560, 1;,1
1561, 2;,2
1562, 1;,1
